temporary_id,title,publisher,publication_year,source_level,usage_status,canonical_url,public_content_scope
WCD03-SRC-01,若热·亚马多中文作家名资料,中国作家网,2016,C,used,https://www.chinawriter.com.cn/comm/2016/2016-02-24/265978.html,支持若热·亚马多中文展示名
WCD03-SRC-02,短暂的一生,麥田出版,2021,D,discovery_only,https://www.sanmin.com.tw/product/index/009355218,登记《短暂的一生》为另一中文出版版本题名的 discovery/source candidate；不进入正式 sources/card_sources
WCD03-SRC-03,污秽的夜鸟,人民文学出版社,2022,B,used,https://zfcg.henan.gov.cn/cmsweb81e27e/nas/webfile2024/henan/rootfiles/2024/07/26/2f9f478cc1494af09a6cc32b574049b2.pdf,支持《污秽的夜鸟》中文出版题名及 ISBN 9787020167647
WCD03-SRC-04,政府采购书目中的毁灭者亚巴顿,四川文艺出版社,2021,B,used,https://www.ccgp-neimenggu.gov.cn/gpx-bid-file/150501/gpx-tender/2022/9/27/402881dd82f475a001837dd994c704ec.pdf?accessCode=6ee03dd5dfaa580f5676714376d8dec5,直接显示《毁灭者亚巴顿》、埃内斯托·萨瓦托、四川文艺出版社及 ISBN 9787541159299
WCD03-SRC-05,政府采购书目中的营救距离,人民文学出版社,2018,B,used,https://zfcg.henan.gov.cn/cmsweb81e27e/nas/webfile2024/hebi/rootfiles/2023/05/30/f9639cdc6cb440bdaeb5d6b138162c24.pdf,直接显示《营救距离》、萨曼塔·施维伯林、人民文学出版社及 ISBN 9787020134663
WCD03-SRC-06,吃鸟的女孩,对外经济贸易大学图书馆,2021,B,used,https://opac.uibe.edu.cn/opac/book/483c06579a847d844526abb43bfd53f2,支持萨曼塔·施维伯林与《吃鸟的女孩》中文出版用名
WCD03-SRC-07,Las cosas que perdimos en el fuego 文化活动页,塞万提斯学院北京,,B,used,https://cultura.cervantes.es/pekin/zh/%C2%ABlas-cosas-que-perdimos-en-el-fuego%C2%BB/186195,支持《火中遗物》中文出版用名
WCD03-SRC-08,2024 外研社图书目录,外语教学与研究出版社,2024,B,used,https://www.fltrp.com/ebook/zhcb/zhcb_tsml_gd_js_2024/files/basic-html/page37.html,支持《属于我们的夜晚》中文出版题名
WCD03-SRC-09,床上抽烟危险,对外经济贸易大学图书馆,2022,B,used,https://opac.uibe.edu.cn/opac/book/1ad3b7b650abb95d05fd46424018d470,支持《床上抽烟危险》中文出版题名
WCD03-SRC-10,桂冠诗人之后的新一代智利诗人,中国作家网,2017,C,used,https://www.chinawriter.com.cn/n1/2017/0721/c405171-29418970.html,支持《树的隐秘生活》与《回家的路》中文出版用名
WCD03-SRC-11,政府采购书目中的短暂的生命,作家出版社,2024,B,used,https://zhengzhou.zfcg.henan.gov.cn/cmsweb81e27e/nas/webfile2024//nanyang/rootfiles/2024/11/15/caaec49ea4264e7990077622cd565e1d.pdf,直接显示《短暂的生命》、胡安·卡洛斯·奥内蒂、作家出版社及 ISBN 9787521229967；支持保留当前题名
