relationship_id,source_id
V1-REL-0001,SRC-0002
V1-REL-0002,SRC-0002
V1-REL-0003,SRC-0002
V1-REL-0004,SRC-0002
V1-REL-0005,SRC-0009
V1-REL-0006,SRC-0009
V1-REL-0007,SRC-0009
V1-REL-0008,SRC-0009
V1-REL-0009,SRC-0010
V1-REL-0010,SRC-0009
V1-REL-0011,SRC-0002
V1-REL-0012,SRC-0002
V1-REL-0013,SRC-0009
V1-REL-0014,SRC-0002
V1-REL-0015,SRC-0009
V1-REL-0015,SRC-0012
V1-REL-0016,SRC-0017
V1-REL-0017,SRC-0021
V1-REL-0018,SRC-0017
V1-REL-0019,SRC-0022
V1-REL-0020,SRC-0022
V1-REL-0021,SRC-0022
V1-REL-0022,SRC-0001
V1-REL-0022,SRC-0002
V1-REL-0022,SRC-0027
V1-REL-0023,SRC-0027
V1-REL-0024,SRC-0027
V1-REL-0025,SRC-0022
V1-REL-0026,SRC-0017
V1-REL-0027,SRC-0021
V1-REL-0028,SRC-0020
V1-REL-0029,SRC-0020
V1-REL-0030,SRC-0023
V1-REL-0031,SRC-0029
V1-REL-0032,SRC-0020
V1-REL-0033,SRC-0023
V1-REL-0034,SRC-0029
V1-REL-0035,SRC-0017
V1-REL-0036,SRC-0022
V1-REL-0037,SRC-0022
V1-REL-0038,SRC-0027
V1-REL-0039,SRC-0027
V1-REL-0040,SRC-0001
V1-REL-0040,SRC-0002
V1-REL-0040,SRC-0032
V1-REL-0041,SRC-0001
V1-REL-0041,SRC-0033
V1-REL-0042,SRC-0001
V1-REL-0042,SRC-0034
V1-REL-0043,SRC-0003
V1-REL-0043,SRC-0038
V1-REL-0044,SRC-0037
V1-REL-0045,SRC-0040
V1-REL-0046,SRC-0041
V1-REL-0047,SRC-0042
V1-REL-0048,SRC-0043
V1-REL-0049,SRC-0039
V1-REL-0050,SRC-0039
V1-REL-0051,SRC-0039
V1-REL-0052,SRC-0039
V1-REL-0053,SRC-0039
V1-REL-0054,SRC-0039
V1-REL-0055,SRC-0035
V1-REL-0056,SRC-0035
V1-REL-0057,SRC-0035
V1-REL-0058,SRC-0041
V1-REL-0059,SRC-0044
V1-REL-0060,SRC-0045
V1-REL-0061,SRC-0046
V1-REL-0062,SRC-0002
V1-REL-0062,SRC-0055
V1-REL-0063,SRC-0050
V1-REL-0064,SRC-0002
V1-REL-0064,SRC-0052
V1-REL-0065,SRC-0055
V1-REL-0066,SRC-0044
V1-REL-0067,SRC-0047
V1-REL-0068,SRC-0047
V1-REL-0069,SRC-0047
V1-REL-0070,SRC-0047
V1-REL-0071,SRC-0054
V1-REL-0072,SRC-0054
V1-REL-0073,SRC-0054
V1-REL-0074,SRC-0054
V1-REL-0074,SRC-0055
V1-REL-0075,SRC-0057
V1-REL-0076,SRC-0046
V1-REL-0076,SRC-0063
